time,cpu,mem
0,128.0,15.1
1,159.1,16.3
2,72.2,18.6
3,157.9,33.2
4,182.4,33.2
5,166.7,33.2
6,0.0,33.2
7,0.0,33.2
8,0.0,33.2
9,0.0,33.2
10,0.0,33.2
11,0.0,33.2
12,0.0,33.2
13,17.6,33.2
14,18.8,33.2
15,157.9,33.2
16,65.2,33.2
17,157.9,33.2
18,163.2,33.2
19,18.8,33.2
20,71.4,33.2
21,0.0,33.2
22,0.0,33.2
23,0.0,33.2
24,0.0,33.2
25,0.0,33.2
26,0.0,33.2
27,0.0,33.2
28,182.4,33.2
29,172.2,33.2
30,178.9,33.2
31,188.2,33.2
32,77.8,33.2
33,17.6,33.2
34,23.5,33.2
35,25.0,33.2
36,25.0,33.2
37,145.8,33.2
38,200.0,33.2
39,128.6,33.2
40,117.2,33.2
41,150.0,33.2
42,160.9,33.2
43,171.4,33.2
44,142.9,33.2
45,140.6,33.2
46,127.3,33.2
47,182.1,33.2
48,186.5,33.2
49,85.0,33.2
50,118.9,33.2
51,152.2,33.2
52,141.7,33.2
53,165.2,33.2
54,175.0,33.2
55,159.1,29.2
56,0.0,33.2
57,0.0,33.2
58,0.0,33.2
59,0.0,33.2
60,0.0,33.2
61,0.0,33.2
62,182.4,33.2
63,182.4,33.2
64,163.2,33.2
65,172.2,33.2
66,173.7,33.2
67,17.6,33.2
68,18.8,33.2
69,18.8,33.2
70,22.2,33.2
71,18.8,33.2
72,18.8,33.2
73,40.0,33.2
74,0.0,33.2
75,171.4,33.2
76,200.0,33.2
77,94.4,33.2
78,110.8,33.2
79,0.0,33.2
80,0.0,33.2
81,0.0,33.2
82,16.7,33.2
83,29.4,33.2
84,11.8,33.2
85,18.8,33.2
86,12.5,33.2
87,150.0,33.2
88,163.6,33.2
89,148.1,33.2
90,94.1,33.2
91,123.8,33.2
92,189.7,33.2
93,116.3,33.2
94,116.2,33.2
95,175.0,33.2
96,105.4,33.2
97,125.7,33.2
98,121.4,33.2
99,175.0,33.2
100,185.2,33.2
101,90.0,33.2
102,127.3,33.2
103,136.4,33.2
104,109.4,33.2
105,129.2,33.2
106,0.0,33.2
107,5.9,33.2
108,188.9,33.2
109,177.8,33.2
110,152.4,33.2
111,166.7,33.2
112,175.0,33.2
113,0.0,33.2
114,0.0,33.2
115,0.0,33.2
116,17.6,33.2
117,16.7,33.2
118,23.5,33.2
119,21.1,33.2
120,16.7,33.2
121,182.4,33.2
122,168.4,33.2
123,116.7,29.1
124,163.2,33.2
125,160.0,33.2
126,0.0,33.2
127,0.0,33.2
128,0.0,33.2
129,0.0,33.2
130,0.0,33.2
131,0.0,33.2
132,0.0,33.2
133,18.8,33.2
134,100.0,33.2
135,195.0,33.2
136,168.4,33.2
137,155.0,33.2
138,12.5,33.2
139,11.8,33.2
140,162.5,33.2
141,163.6,33.2
142,123.3,33.2
143,58.7,33.2
144,79.2,33.2
145,57.1,33.2
146,48.6,33.2
147,143.5,33.2
148,94.4,33.2
149,67.7,33.2
150,4.1,33.2
151,38.8,33.2
152,76.5,33.2
153,109.1,33.2
154,59.8,33.2
155,115.0,33.2
156,194.6,33.2
157,133.3,33.2
158,153.6,33.2
159,93.8,29.2
160,109.5,30.6
161,166.7,33.2
162,166.7,33.2
163,163.2,33.2
164,163.2,33.2
165,177.8,33.2
166,88.9,33.2
167,0.0,33.2
168,0.0,33.2
169,0.0,33.2
170,6.2,33.2
171,23.5,33.2
172,22.2,33.2
173,12.5,33.2
174,135.3,33.2
175,172.2,33.2
176,177.8,33.2
177,165.0,32.7
178,195.0,27.3
179,63.3,33.2
